weight,diameter,color,fruit
111.7,3.7,Yellow,Banana
126,8.6,Red,Apple
89.8,3.4,Yellow,Banana
113,3.7,Yellow,Banana
179.2,8.3,Red,Apple
166.3,6.7,Green,Apple
142,3.4,Yellow,Banana
122.1,3.5,Yellow,Banana
152.4,7.2,Red,Apple
138,7.4,Green,Apple
134.2,4,Yellow,Banana
114.2,3.2,Yellow,Banana
162,9.2,Orange,Orange
209.7,7.7,Orange,Orange
164.8,7.6,Green,Apple
169.7,7.6,Orange,Orange
270.2,9.1,Orange,Orange
156.9,6.6,Red,Apple
161.6,7.9,Red,Apple
107.4,3.4,Yellow,Banana
117.5,3.8,Yellow,Banana
146.4,7.3,Green,Apple
166.3,8.2,Red,Apple
104.4,3.5,Yellow,Banana
214,8.9,Orange,Orange
119.5,4,Yellow,Banana
137.7,7.7,Green,Apple
153,7.4,Red,Apple
168.1,7.5,Red,Apple
142.2,3.3,Yellow,Banana
145.8,7.3,Green,Apple
156,9,Orange,Orange
155.1,7.7,Green,Apple
189.7,9,Orange,Orange
115.4,3.7,Yellow,Banana
167,6.8,Red,Apple
96.9,7.7,Red,Apple
143.1,7.1,Red,Apple
123.2,2.9,Yellow,Banana
136.7,7.4,Green,Apple
232.6,9.1,Orange,Orange
151.2,8.7,Green,Apple
127.2,3.4,Yellow,Banana
125.1,4.1,Yellow,Banana
234.3,9,Orange,Orange
130.9,3.3,Yellow,Banana
178.1,8.2,Red,Apple
105.1,3.3,Yellow,Banana
141.7,7.9,Green,Apple
133.3,3.7,Yellow,Banana
128,3.2,Yellow,Banana
108.3,3.4,Yellow,Banana
148.1,3.6,Yellow,Banana
135.7,3.7,Yellow,Banana
115.8,7.6,Red,Apple
156.8,9.2,Orange,Orange
132.2,3.6,Yellow,Banana
218.5,9.2,Orange,Orange
132.8,4,Yellow,Banana
170.4,7.8,Orange,Orange
231.5,9.3,Orange,Orange
123.4,7.5,Green,Apple
105.6,3.8,Yellow,Banana
99.5,3.3,Yellow,Banana
209.5,8.5,Orange,Orange
124.2,3.7,Yellow,Banana
239,7.7,Orange,Orange
98.9,3.5,Yellow,Banana
205.7,7.5,Green,Apple
114.3,7.4,Green,Apple
129.1,2.9,Yellow,Banana
107.3,3,Yellow,Banana
118.3,3,Yellow,Banana
221.3,8.6,Orange,Orange
219.1,7.9,Orange,Orange
120.9,3.2,Yellow,Banana
226.5,8.2,Orange,Orange
130.8,8.2,Red,Apple
215.5,8.8,Orange,Orange
135.3,7.6,Red,Apple
126.3,7.7,Green,Apple
207,8.6,Orange,Orange
121,3.4,Yellow,Banana
102,3.9,Yellow,Banana
146.3,8.7,Orange,Orange
187.6,8.9,Orange,Orange
185.8,9.2,Orange,Orange
181.2,7.6,Green,Apple
174.2,7.4,Green,Apple
264.3,8.9,Orange,Orange
147.9,7.3,Red,Apple
176.8,9.5,Orange,Orange
196.5,9,Orange,Orange
205.5,8.8,Orange,Orange
157.5,8.3,Green,Apple
119.6,7.3,Green,Apple
116.4,4.1,Yellow,Banana
221,8.9,Orange,Orange
192.3,7.3,Green,Apple
200.1,9,Orange,Orange
169.5,8.3,Green,Apple
137.6,3.7,Yellow,Banana
169,8.6,Orange,Orange
163.7,7.5,Red,Apple
155.6,7.2,Red,Apple
226.5,8.2,Orange,Orange
162.9,8,Orange,Orange
125.4,3.3,Yellow,Banana
159,7.5,Green,Apple
250.3,7.4,Orange,Orange
119.7,3.5,Yellow,Banana
214.8,7.6,Orange,Orange
143.3,3.4,Yellow,Banana
137.5,6.8,Red,Apple
126.3,8.5,Orange,Orange
145.2,7.9,Green,Apple
156.5,7.4,Green,Apple
107.2,3.5,Yellow,Banana
129.9,6.9,Red,Apple
165.4,7.8,Red,Apple
119.8,3.2,Yellow,Banana
124.9,4,Yellow,Banana
129.2,3.9,Yellow,Banana
144.8,8.1,Green,Apple
226.6,8.4,Orange,Orange
234.6,8.2,Orange,Orange
122.8,3.7,Yellow,Banana
195.1,9.6,Orange,Orange
169.4,9,Orange,Orange
119.7,3.2,Yellow,Banana
178.9,6.5,Green,Apple
161.1,7.9,Red,Apple
139.2,6.8,Green,Apple
151.1,7.1,Red,Apple
143.1,8.9,Orange,Orange
225.3,7.9,Orange,Orange
195.5,7.7,Green,Apple
152.3,3.3,Yellow,Banana
243.1,8.1,Orange,Orange
118.3,3.8,Yellow,Banana
133.2,7.2,Green,Apple
177.3,8,Orange,Orange
156.8,8.4,Red,Apple
161.4,8,Red,Apple
123.6,8.4,Green,Apple
197.8,8.3,Orange,Orange
156.8,7.5,Red,Apple
137.7,8.2,Red,Apple
109.6,3.5,Yellow,Banana
118.1,7.2,Green,Apple
123.9,3.6,Yellow,Banana
124.8,3.6,Yellow,Banana
113.2,3.7,Yellow,Banana
180.3,8,Orange,Orange
122.6,7.8,Red,Apple
175.2,8.3,Orange,Orange
95.7,8.3,Orange,Orange
137.7,3.5,Yellow,Banana
212.4,9.3,Orange,Orange
142.3,3.8,Yellow,Banana
123.5,3.7,Yellow,Banana
231.8,7.4,Orange,Orange
173.9,8.6,Orange,Orange
206,7.2,Orange,Orange
144.4,3.1,Yellow,Banana
134.5,3.7,Yellow,Banana
199.6,9,Orange,Orange
149.9,7.7,Red,Apple
160.9,8.9,Orange,Orange
87.4,4.1,Yellow,Banana
144.2,3.3,Yellow,Banana
148.7,8,Red,Apple
159,8.8,Orange,Orange
139.4,7.1,Red,Apple
157,8.4,Orange,Orange
188.8,8,Orange,Orange
109.5,3.6,Yellow,Banana
188.6,7.9,Orange,Orange
167,7.2,Red,Apple
112,3.3,Yellow,Banana
119.5,3.5,Yellow,Banana
146.7,3.6,Yellow,Banana
217.3,8.7,Orange,Orange
189.3,9,Orange,Orange
107.8,3.2,Yellow,Banana
155.2,6.9,Red,Apple
121.1,3.2,Yellow,Banana
154.4,8,Green,Apple
199.8,9.4,Orange,Orange
143.4,3.7,Yellow,Banana
113.4,4,Yellow,Banana
97.2,3.2,Yellow,Banana
157.5,8.9,Orange,Orange
120.4,3.5,Yellow,Banana
145.9,6.4,Green,Apple
122.6,3.8,Yellow,Banana
123.6,3.6,Yellow,Banana
185.9,7.5,Green,Apple
155.7,8.4,Green,Apple
113.5,3.6,Yellow,Banana
177.1,7.4,Orange,Orange
154.3,8.4,Red,Apple
193.6,8.6,Orange,Orange
198,7.8,Orange,Orange
94.1,3.9,Yellow,Banana
259.9,9.7,Orange,Orange
230.2,8.2,Orange,Orange
148.6,7,Green,Apple
116.8,3.5,Yellow,Banana
157.4,7.2,Red,Apple
214.6,9.4,Orange,Orange
156.8,7.3,Green,Apple
186.7,8.8,Orange,Orange
124.3,4.1,Yellow,Banana
144.6,8,Green,Apple
128.3,3.6,Yellow,Banana
171,7.1,Red,Apple
156.5,7.4,Red,Apple
226.8,8.6,Orange,Orange
85.7,3.9,Yellow,Banana
